calories_g,fat_g,carbohydrates_g,protein_g,cholesterol_mg,sodium_mg
416.0,19.2,38.5,22.6, 43  ,644.0
601.0,38.3,44.0,23.2, 210  ,403.0
338.0,12.6,21.7,33.4, 114 ,1304.0
346.0,15.7,24.6,25.4, 79 ,704.0
374.0,17.1,27.6,27.8, 109 ,563.0
387.0,27.6,12.0,23.9, 140  ,1449.0
735.0,42.0,60.9,28.9, 159  ,1134.0
465.0,12.3,55.0,36.3, 95 ,856.0
331.0,21.1,13.3,21.7, 52 ,419.0
403.0,26.8,11.5,27.2, 94  ,672.0
663.0,35.0,74.7,13.9, 43  ,1085.0
356.0,20.5,5.7,36.5, 113 ,565.0
396.0,20.6,1.2,48.6, 93  ,773.0
511.0,38.3,4.5,37.4, 166  ,1248.0
407.0,20.1,50.6,10.1, 0  ,1176.0
178.0,3.2,19.0,19.2, 39 ,755.0
164.0,5.9,2.7,25.1, 230  ,586.0
200.0,7.9,3.7,27.4, 51  ,945.0
218.0,13.5,4.6,18.5, 106  ,218.0
482.0,27.3,45.7,13.9, 38  ,671.0
232.0,13.2,12.4,16.2, 27  ,1157.0
517.0,14.8,73.8,21.0, 15  ,547.0
407.0,16.7,37.0,26.2, 74  ,774.0
387.0,22.8,1.6,41.0, 129 ,900.0
561.0,33.3,36.5,28.3, 100  ,1194.0
113.0,6.3,14.9,0.2, 8  ,167.0
384.0,16.6,34.0,26.8, 59 ,1286.0
398.0,20.1,23.9,29.8, 112 ,839.0
245.0,10.6,28.9,9.3, 37  ,679.0
206.0,10.2,2.4,25.0, 244  ,426.0
347.0,8.4,38.0,28.3, 69 ,424.0
548.0,22.6,40.5,44.6, 94  ,2310.0
323.0,15.8,17.2,26.6, 115  ,1129.0
448.0,21.1,40.5,22.2, 60  ,1274.0
350.0,17.1,41.6,11.6, 13  ,587.0
504.0,30.2,23.1,29.9, 120  ,715.0
507.0,18.7,59.2,27.4, 60  ,651.0
508.0,28.5,24.6,37.5, 182 ,1562.0
453.0,32.2,1.0,37.7, 151  ,167.0
189.0,8.1,4.3,24.2, 65  ,354.0
328.0,10.1,43.3,17.4, 22 ,154.0
735.0,44.2,47.6,35.7, 136 ,1054.0
334.0,17.0,28.2,15.6, 50  ,635.0
557.0,18.2,59.6,37.0, 98  ,1197.0
526.0,35.2,7.5,42.5, 132  ,1368.0
311.0,17.6,11.3,27.6, 69  ,529.0
201.0,10.8,8.5,16.3, 53  ,518.0
935.0,66.4,49.6,35.3, 96  ,1405.0
446.0,20.3,35.7,31.2, 72  ,1420.0
423.0,23.3,12.7,38.8, 121  ,736.0
310.0,15.1,18.0,23.8, 126 ,296.0
354.0,22.5,15.8,22.2, 57  ,944.0
377.0,16.7,26.4,29.4, 89  ,870.0
673.0,29.1,72.8,31.0, 65 ,979.0
488.0,25.2,32.6,33.1, 95 ,955.0
198.0,11.1,9.8,14.9, 36  ,801.0
565.0,22.1,51.7,37.6, 105  ,774.0
227.0,13.0,3.2,23.9, 65 ,64.0
530.0,33.3,28.8,36.8, 97 ,1170.0
235.0,13.9,0.9,25.7, 58  ,282.0
427.0,24.3,14.7,38.1, 95 ,1370.0
242.0,7.2,8.8,32.4, 81 ,1793.0
171.0,6.4,14.3,14.3, 37  ,357.0
462.0,19.5,49.6,23.2, 77  ,843.0
232.0,13.2,16.1,12.0, 36  ,428.0
511.0,19.4,57.5,21.9, 135  ,260.0
518.0,30.7,30.3,30.6, 100  ,102.0
325.0,15.7,17.0,27.7, 103  ,1565.0
348.0,20.5,19.6,27.2, 81  ,765.0
262.0,13.7,21.5,13.3, 36  ,179.0
497.0,33.6,23.9,26.1, 98  ,1128.0
425.0,4.4,65.3,31.1, 68 ,1142.0
214.0,3.5,19.0,22.2, 59 ,248.0
318.0,16.8,18.9,22.4, 90  ,398.0
756.0,30.8,82.7,36.0, 110 ,1642.0
649.0,27.4,68.9,30.7, 86  ,1485.0
514.0,40.3,3.0,31.4, 158 ,1618.0
391.0,12.1,54.7,18.0, 27  ,1862.0
203.0,14.6,9.8,10.3, 20  ,259.0
612.0,30.3,58.7,27.6, 134  ,992.0
507.0,28.5,49.8,14.0, 43 ,714.0
409.0,22.7,22.3,28.4, 155  ,1227.0
330.0,16.2,15.0,29.0, 83  ,310.0
328.0,16.9,18.4,24.7, 136  ,841.0
556.0,33.8,26.1,34.8, 116  ,1122.0
607.0,25.4,25.7,64.9, 194  ,151.0
351.0,9.6,40.3,28.7, 43  ,2416.0
270.0,18.8,0.0,23.4, 85  ,196.0
240.0,13.0,5.2,26.3, 88 ,196.0
585.0,40.3,5.6,49.5, 123 ,886.0
287.0,4.9,42.3,17.6, 77  ,126.0
375.0,24.3,7.8,27.2, 91  ,360.0
427.0,19.0,23.1,40.2, 99 ,1031.0
712.0,45.6,36.0,40.9, 142  ,2089.0
280.0,16.1,9.3,20.9, 71  ,282.0
213.0,11.6,8.7,17.9, 76  ,649.0
634.0,40.2,33.4,36.3, 62  ,697.0
393.0,22.6,22.6,22.9, 71  ,1179.0
930.0,69.5,31.9,46.8, 152 ,1975.0
261.0,6.1,23.7,27.1, 63 ,590.0
335.0,14.6,26.2,24.0, 54  ,984.0
519.0,24.5,48.1,29.8, 133 ,85.0
465.0,23.8,30.6,30.5, 100  ,746.0
661.0,18.6,73.2,42.4, 168 ,1840.0
511.0,30.1,19.4,38.8, 111  ,2172.0
544.0,30.2,26.6,40.6, 142 ,1852.0
107.0,1.5,9.6,12.3, 30 ,923.0
372.0,14.4,29.8,29.6, 76  ,1173.0
549.0,46.1,7.0,27.5, 67 ,1574.0
351.0,10.6,40.4,22.3, 38 ,164.0
335.0,16.7,31.6,13.8, 64  ,667.0
229.0,14.5,0.2,23.0, 73 ,143.0
502.0,27.7,27.5,33.4, 181  ,410.0
662.0,39.1,46.2,31.2, 60  ,1360.0
405.0,11.7,54.8,21.1, 16  ,1325.0
160.0,2.2,14.7,19.4, 52 ,332.0
264.0,11.1,4.9,35.4, 98 ,641.0
607.0,40.4,13.4,45.1, 174 ,821.0
318.0,22.9,19.2,8.6, 43  ,776.0
364.0,19.6,13.3,32.7, 101 ,1146.0
119.0,1.0,13.6,13.2, 47  ,244.0
297.0,19.2,1.5,23.2, 88  ,698.0
274.0,16.1,21.1,11.3, 71  ,210.0
409.0,32.6,8.8,19.4, 79  ,754.0
557.0,31.5,6.9,58.8, 217 ,837.0
281.0,11.6,13.0,30.3, 110 ,334.0
378.0,19.8,24.4,24.1, 100  ,842.0
388.0,12.0,39.6,27.9, 51  ,279.0
602.0,37.4,36.1,28.9, 148  ,633.0
715.0,30.0,58.6,49.8, 156 ,1182.0
440.0,10.6,57.7,29.2, 172  ,281.0
456.0,28.3,13.0,26.0, 133 ,1672.0
497.0,26.1,42.6,24.0, 97 ,164.0
291.0,17.2,1.3,30.8, 97 ,94.0
254.0,14.7,5.3,23.0, 61 ,1121.0
380.0,21.3,32.1,16.0, 23  ,811.0
47.0,3.5,4.0,0.5, 0  ,692.0
394.0,25.9,1.5,36.9, 121  ,1001.0
312.0,15.4,17.0,26.1, 69  ,972.0
366.0,23.7,16.4,23.0, 92 ,508.0
556.0,24.0,4.3,69.3, 201  ,680.0
280.0,19.9,3.1,19.5, 230  ,330.0
572.0,17.0,80.1,27.7, 87  ,1177.0
302.0,17.2,18.8,17.0, 47 ,573.0
1139.0,74.5,34.5,80.4, 284 ,1866.0
233.0,13.0,2.4,27.4, 143  ,266.0
229.0,15.1,4.2,15.0, 78  ,904.0
730.0,42.6,52.7,33.1, 173 ,919.0
601.0,43.6,10.9,40.3, 165  ,621.0
567.0,44.9,8.0,29.4, 150  ,518.0
297.0,11.4,22.2,31.2, 118 ,251.0
490.0,24.8,39.8,25.3, 74  ,701.0
441.0,29.0,20.0,24.2, 123  ,634.0
679.0,40.5,48.2,28.7, 159  ,660.0
354.0,16.4,31.2,20.9, 44  ,1079.0
353.0,17.2,32.4,16.5, 46  ,874.0
377.0,26.0,20.2,17.2, 63  ,952.0
203.0,4.2,17.1,23.6, 61 ,413.0
286.0,10.1,11.4,27.9, 80 ,313.0
441.0,25.0,36.7,16.8, 81 ,1211.0
400.0,28.3,25.7,11.1, 76  ,639.0
455.0,27.6,18.3,17.6, 61  ,356.0
202.0,10.1,1.6,25.1, 65  ,429.0
320.0,22.1,2.4,25.7, 104  ,197.0
437.0,23.5,26.7,28.6, 65  ,625.0
268.0,15.2,7.7,23.1, 98  ,393.0
494.0,34.7,31.5,18.2, 100  ,894.0
463.0,26.1,12.1,32.6, 163  ,439.0
388.0,19.2,33.0,22.6, 54  ,1260.0
310.0,21.0,2.1,27.1, 120 ,227.0
401.0,23.3,29.1,18.5, 70  ,450.0
139.0,5.1,4.9,15.0, 46 ,120.0
535.0,22.1,69.1,17.3, < 1  ,312.0
376.0,15.3,25.8,33.3, 102  ,725.0
252.0,13.8,8.0,23.1, 111  ,509.0
393.0,27.6,14.3,22.1, 62 ,950.0
374.0,15.1,32.9,26.8, 80  ,184.0
495.0,26.4,36.2,28.0, 104 ,1060.0
473.0,17.3,48.2,29.2, 77 ,898.0
371.0,14.8,52.0,7.9, 0  ,699.0
477.0,27.0,38.4,24.9, 76  ,1305.0
308.0,16.1,3.3,35.3, 88  ,658.0
255.0,8.3,16.4,28.3, 68 ,655.0
296.0,18.6,12.6,19.4, 102  ,950.0
551.0,29.1,41.9,34.8, 103 ,1859.0
406.0,28.9,8.8,27.3, 107 ,1457.0
668.0,46.7,34.9,23.9, 159  ,1013.0
352.0,19.0,13.8,29.1, 106 ,765.0
262.0,18.1,0.7,22.8, 82  ,254.0
664.0,33.5,59.2,31.0, 82  ,1714.0
455.0,33.7,5.4,30.6, 162  ,1877.0
284.0,11.5,24.6,18.4, 107  ,889.0
685.0,13.2,96.2,47.0, 94 ,826.0
641.0,40.4,47.0,22.6, 118  ,828.0
310.0,6.4,27.9,35.0, 68 ,863.0
75.0,4.8,6.0,1.8, 15  ,164.0
343.0,17.9,23.3,20.5, 74  ,895.0
447.0,30.2,22.6,18.8, 68  ,675.0
998.0,60.5,53.6,59.4, 240  ,1643.0
485.0,24.7,9.0,55.5, 169  ,1492.0
678.0,45.8,1.7,61.3, 179  ,981.0
409.0,32.2,2.7,25.6, 109  ,861.0
524.0,20.7,58.5,26.4, 178 ,594.0
259.0,20.2,4.1,15.4, 69 ,83.0
288.0,10.4,12.6,31.1, 121 ,697.0
385.0,18.2,15.4,39.2, 97 ,2798.0
224.0,7.8,4.6,32.0, 94 ,481.0
232.0,13.2,16.9,16.5, 0  ,680.0
507.0,29.0,18.6,40.5, 142 ,588.0
452.0,17.9,34.1,40.7, 113  ,690.0
301.0,17.8,0.7,33.3, 71  ,1034.0
405.0,29.2,3.6,32.2, 128 ,178.0
460.0,32.6,8.2,31.9, 138 ,590.0
370.0,24.8,7.7,27.8, 80  ,79.0
537.0,28.1,39.9,31.4, 95 ,1131.0
504.0,20.9,72.0,11.1, 41  ,1288.0
795.0,35.2,87.9,23.9, 84  ,929.0
193.0,6.7,5.1,27.1, 65  ,1887.0
455.0,30.0,15.3,30.7, 164 ,335.0
553.0,38.7,8.1,40.7, 156  ,379.0
357.0,18.7,25.4,22.4, 65 ,717.0
249.0,10.8,11.9,24.6, 56  ,51.0
431.0,20.1,16.9,44.0, 124 ,809.0
578.0,26.3,26.3,58.3, 231 ,1101.0
342.0,20.1,23.3,15.9, 59 ,444.0
310.0,11.4,29.3,22.5, 173  ,928.0
438.0,19.5,27.7,37.8, 82 ,325.0
273.0,9.4,6.8,38.3, 95  ,2232.0
878.0,58.4,58.2,29.1, 100  ,2118.0
441.0,30.0,16.9,24.6, 117  ,582.0
551.0,41.9,1.6,39.4, 161  ,446.0
261.0,15.8,9.9,20.5, 48  ,599.0
445.0,27.5,8.8,39.0, 174  ,967.0
538.0,38.9,15.6,29.8, 181  ,941.0
610.0,46.0,6.1,39.1, 164  ,1180.0
676.0,30.9,53.2,46.0, 189  ,1255.0
591.0,18.1,56.9,50.2, 137 ,980.0
489.0,21.8,29.5,40.7, 116 ,140.0
909.0,43.0,77.6,52.1, 127  ,2248.0
591.0,33.2,2.4,66.9, 220  ,2047.0
335.0,8.9,46.3,18.7, 52  ,655.0
737.0,52.1,42.3,28.5, 136 ,977.0
239.0,10.1,10.6,25.8, 65  ,643.0
491.0,28.8,39.4,19.7, 62  ,1323.0
